route_id,agency_id,route_short_name,route_long_name,route_type
11104191,0,L,MicroBus L: Sumunpaya → Ticti Norte,3
11104667,0,L,MicroBus L: Ticti Norte → Sumunpaya,3
11106937,0,W,Microbus W: Calle Poopó → Villa Marquina,3
11106983,0,W,Microbus W: Villa Marquina → Calle Poopó,3
11124771,0,245,MiniBus 245: Vinto → Pirque,3
11124782,0,245,MiniBus 245: Pirque → Vinto,3
11129178,0,260,MiniBus 260: Vinto → Parotani,3
11129182,0,260,MiniBus 260: Parotani → Vinto,3
11131214,0,120,Minibus 120: Encanto Pampa → Calle Tupac Katari,3
11132626,0,N,Microbus N: Calle Severo Fernandez A. → El Abra,3
11132650,0,N,MicroBus N: El Abra → Calle Severo Fernandez A.,3
