route_id,agency_id,route_short_name,route_long_name,route_type
7472071,0,402,Trotro 402 : Awoshie Last Stop → Nima Overhead,3
7472135,0,401,Trotro 401 : Nima Overhead → Israel Lomnava,3
7472169,0,401,Trotro 401 : Israel Lomnava → Nima Overhead,3
7472219,0,398,Trotro 398 : Nima Mamobi → Ashiaman,3
7472286,0,398,Trotro 398 : Ashiaman → Nima Mamobi,3
7473233,0,65,Trotro 65 : Accra → Darkuman,3
7473304,0,65,Trotro 65 : Darkuman → Accra,3
7473376,0,92,Trotro 92 : Achimota → Dome /Ashongman Estates,3
7473495,0,92,Trotro 92 : Dome /Ashongman Estates → Achimota,3
7473673,0,100,Trotro 100 : Achimota → Legon Station,3
7473677,0,212,Trotro 212 : Circle → Accra New Tema Station,3
7473822,0,100,Trotro 100 : Legon Station → Achimota,3
7473828,0,188,Trotro 188 : Circle → Asore Danho,3
7473839,0,212,Trotro 212 : Accra New Tema Station → Circle,3
7473842,0,188,Trotro 188 : Asore Danho → Circle,3
7473851,0,219,Trotro 219 : Circle Overhead → Abeka Lapaz,3
7473852,0,219,Trotro 219 : Abeka Lapaz → Circle Overhead,3
7474572,0,102,Trotro 102 : Achimota → Madina Station,3
7474605,0,102,Trotro 102 : Madina Station → Achimota,3
7474787,0,103,Trotro 103 : Achimota → Mallam Attah,3
7474823,0,103,Trotro 103 : Mallam Attah → Achimota,3
7475274,0,112,Trotro 112 : Achimota → Ashaiman Main Station,3
7475327,0,112,Trotro 112 : Ashaiman Main Station → Achimota,3
7475602,0,155,Trotro 155 : Akoto Lante → Kaneshie,3
7475644,0,155,Trotro 155 : Kaneshie → Akoto Lante,3
7475767,0,157,Trotro 157 : Alajo → Circle,3
7475834,0,157,Trotro 157 : Circle → Alajo,3
7476011,0,163,Trotro 163 : Apapa → Accra New Tema Station,3
7476130,0,163,Trotro 163 : Accra New Tema Station → Apapa,3
7476413,0,167,Trotro 167 : Atico → Kaneshie,3
7476521,0,167,Trotro 167 : Kaneshie → Atico,3
7476928,0,395,Trotro 395 : Nima → Circle,3
7476945,0,395,Trotro 395 : Circle → Nima,3
7477001,0,391,Trotro 391 : Accra New Town → Nima Maamobi,3
7477057,0,391,Trotro 391 : Nima Maamobi → Accra New Town,3
7477078,0,389,Trotro 389 : Accra New Town → Madina,3
7477084,0,389,Trotro 389 : Madina → Accra New Town,3
7477090,0,351,Trotro 351 : Legon → Dome,3
7477507,0,351,Trotro 351 : Dome → Legon,3
7477561,0,356,Trotro 356 : Mallam Atta → Achimota,3
7477758,0,356,Trotro 356 : Achimota → Mallam Atta,3
7477825,0,114,Trotro 114 : Achimota → Taifa,3
7477990,0,170,Trotro 170 : Banana Inn → Accra Post Office,3
7478023,0,170,Trotro 170 : Accra Post Office → Banana Inn,3
7478121,0,174,Trotro 174 : Bubiashie Ayigbe Town → Circle,3
7478156,0,114,Trotro 114 : Taifa → Achimota,3
7478379,0,174,Trotro 174 : Circle → Bubiashie Ayigbe Town,3
7479340,0,193,Trotro 193 : Circle → Immesco Rice,3
7479355,0,193,Trotro 193 : Immesco Rice → Circle,3
7479429,0,196,Trotro 196 : Circle → Kotobabi Down Polo Park,3
7479571,0,196,Trotro 196 : Kotobabi Down Polo Park → Circle,3
7479872,0,226,Trotro 226 : Circle → Pigfarm,3
7479893,0,226,Trotro 226 : Pigfarm → Circle,3
7480068,0,231,Trotro 231 : Accra CMB → Weija,3
7480160,0,231,Trotro 231 : Weija → Accra CMB,3
7480173,0,308,Trotro 308 : Kotobabi Down → Accra CMB,3
7480239,0,308,Trotro 308 : Accra CMB → Kotobabi Down,3
7480327,0,309,Trotro 309 : Kotobabi Down → Circle Lido,3
7480336,0,309,Trotro 309 : Circle Lido → Kotobabi Down,3
7480355,0,996,Trotro 996 : Nima - Maamobi → Circle,3
7480395,0,996,Trotro 996 : Circle → Nima - Maamobi,3
7480400,0,331,Trotro 331 : Abeka Lapaz → Accra,3
7480536,0,331,Trotro 331 : Accra → Abeka Lapaz,3
