shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
9085564,-17.4179158,-66.1501324,207
9085564,-17.4176537,-66.150174,208
9085564,-17.4176537,-66.150174,209
9085564,-17.417102,-66.1502777,210
9085564,-17.4167342,-66.150343,211
9085564,-17.4165848,-66.1503649,212
9085564,-17.4164868,-66.1503703,213
9085564,-17.4162014,-66.150362,214
9085564,-17.4159361,-66.1503329,215
9085564,-17.4157882,-66.1503116,216
9085564,-17.4156198,-66.1502789,217
9085564,-17.4154568,-66.1502225,218
9085564,-17.4152684,-66.1501472,219
9085564,-17.4150891,-66.1500479,220
9085564,-17.4150891,-66.1500479,221
9085564,-17.4148808,-66.1499164,222
9085564,-17.4146895,-66.149785,223
9085564,-17.4144938,-66.1495903,224
9085564,-17.4144938,-66.1495903,225
9085564,-17.4142422,-66.1493566,226
9085564,-17.4142422,-66.1493566,227
9085564,-17.4137204,-66.1503342,228
9085564,-17.4137204,-66.1503342,229
9085564,-17.4132531,-66.151189,230
9085564,-17.4132531,-66.151189,231
9085564,-17.4126965,-66.1511181,232
9085564,-17.4123794,-66.1510765,233
9085564,-17.4123794,-66.1510765,234
9085564,-17.4119011,-66.1510407,235
9085564,-17.4119011,-66.1510407,236
9085564,-17.4114093,-66.1510011,237
9085564,-17.4114093,-66.1510011,238
9085564,-17.409366,-66.1507869,239
9085564,-17.409366,-66.1507869,240
9085564,-17.4087703,-66.1507647,241
9085564,-17.4087703,-66.1507647,242
9085564,-17.4084235,-66.1507358,243
9085564,-17.4084235,-66.1507358,244
9085564,-17.4076317,-66.1507125,245
9085564,-17.4076317,-66.1507125,246
9085564,-17.4049827,-66.1507746,247
9085564,-17.4049827,-66.1507746,248
9085564,-17.4049716,-66.150771,249
9085564,-17.4049601,-66.15077,250
9085564,-17.4049601,-66.15077,251
9085564,-17.4049484,-66.1507719,252
9085564,-17.4049374,-66.1507766,253
9085564,-17.4049277,-66.1507837,254
9085564,-17.4049277,-66.1507837,255
9085564,-17.4046287,-66.1508472,256
9085564,-17.4043781,-66.150896,257
9085564,-17.4041094,-66.1509295,258
9085564,-17.4039397,-66.1509427,259
9085564,-17.403489,-66.1509244,260
9085564,-17.403489,-66.1509244,261
9085564,-17.4033251,-66.1509204,262
9085564,-17.4025817,-66.1508986,263
9085564,-17.4025817,-66.1508986,264
9085564,-17.4025633,-66.1508686,265
9085564,-17.402537,-66.1508463,266
9085564,-17.4025051,-66.1508339,267
9085564,-17.4024711,-66.1508328,268
9085564,-17.4024377,-66.1508417,269
9085564,-17.4024377,-66.1508417,270
9085564,-17.4024089,-66.1508641,271
9085564,-17.4023908,-66.1508921,272
9085564,-17.4023908,-66.1508921,273
9085564,-17.4023802,-66.1509274,274
9085564,-17.4023812,-66.1509643,275
9085564,-17.4023812,-66.1509643,276
9085564,-17.4023946,-66.1509999,277
9085564,-17.4024091,-66.1510233,278
9085564,-17.402439,-66.1510449,279
9085564,-17.402439,-66.1510449,280
9085564,-17.4023897,-66.1522352,281
9085564,-17.4023897,-66.1522352,282
9085564,-17.4023164,-66.1526695,283
9085564,-17.4023036,-66.1533031,284
9085564,-17.4023036,-66.1533031,285
9085564,-17.4022747,-66.1539503,286
9085564,-17.4022708,-66.1540131,287
9085564,-17.4022708,-66.1540131,288
9085564,-17.4022427,-66.1545042,289
9085564,-17.4022427,-66.1545042,290
9085564,-17.4022081,-66.1549673,291
9085564,-17.4021915,-66.1553165,292
9085564,-17.4021915,-66.1553165,293
9085564,-17.4021963,-66.1559482,294
9085564,-17.4021963,-66.1559482,295
9085564,-17.4022092,-66.1566669,296
